Sample,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O
43,41.72,9.42,5.16,5.98,14.84,2.74,1.59
44,39.04,10.09,5.03,4.35,16.64,2.07,1.96
45,38.40,9.16,5.21,6.01,14.23,4.16,1.49
46,41.72,9.49,5.20,6.05,14.53,2.55,1.63
47,42.01,9.72,5.35,5.87,13.98,2.75,1.61
48,39.80,9.60,5.50,6.45,14.61,2.88,1.57
49,40.56,9.33,5.22,6.41,14.54,2.53,1.66
50,40.40,9.45,5.54,5.88,14.76,2.63,1.58
51,40.02,11.00,5.83,5.33,14.48,1.57,2.17
52,39.12,10.55,5.53,5.14,15.57,1.80,2.02
53,40.65,9.28,5.14,6.50,14.11,2.67,1.65
54,41.77,9.72,5.46,6.22,15.10,2.10,1.56
55,42.06,9.65,5.32,5.81,14.27,2.78,1.58
56,42.17,12.89,6.77,5.67,10.58,2.25,2.59
57,41.93,9.87,5.57,6.04,14.22,2.35,1.64
58,39.45,9.47,5.40,6.33,14.85,2.97,1.57
59,40.98,9.74,5.59,6.30,15.20,2.25,1.55
60,38.62,10.32,5.41,5.16,16.87,1.75,1.95
61,43.44,8.86,4.12,4.99,15.99,2.38,1.63
62,43.70,8.84,4.10,4.96,15.43,2.79,1.62
63,43.69,8.76,4.00,4.95,15.98,2.55,1.58
64,44.71,8.89,4.04,4.85,15.67,2.53,1.57
65,38.32,8.40,4.19,5.58,17.31,2.65,1.70
66,43.66,9.41,4.68,4.98,16.07,1.94,1.71
67,42.23,12.47,6.60,5.46,11.72,1.90,2.50
68,40.47,11.53,6.16,5.39,14.42,1.89,2.28
69,44.19,8.70,3.95,4.85,15.99,2.51,1.55
79,40.55,9.99,5.57,6.07,15.71,1.73,1.87
80,41.25,10.14,5.71,6.10,15.38,1.57,1.88
SG22E302/9,40.05,9.93,5.55,5.98,14.55,2.17,1.98
